datetime,sessionTime,posX,posY,posZ,q0,qi,qj,qk,pitch,yaw,roll
230423213211.455,2.760,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213211.572,2.880,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213211.689,3.000,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213211.824,3.120,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213211.939,3.240,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213212.057,3.360,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213212.172,3.480,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213212.290,3.600,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213212.423,3.720,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213212.539,3.840,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213212.657,3.960,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213212.772,4.080,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213212.890,4.200,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213213.022,4.320,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213213.139,4.440,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213213.256,4.560,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213213.372,4.680,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213213.489,4.800,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213213.622,4.920,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213213.739,5.040,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213213.857,5.160,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213213.972,5.280,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213214.088,5.400,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213214.223,5.520,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213214.339,5.640,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213214.455,5.760,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213214.572,5.880,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213214.689,6.000,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213214.822,6.120,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213214.939,6.240,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213215.055,6.360,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213215.172,6.480,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213215.288,6.600,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213215.422,6.720,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213215.540,6.840,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213215.656,6.960,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213215.773,7.080,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213215.890,7.200,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213216.022,7.320,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213216.139,7.440,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213216.256,7.560,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213216.373,7.680,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213216.489,7.800,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213216.622,7.920,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213216.739,8.040,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213216.856,8.160,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213216.973,8.280,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213217.089,8.400,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213217.222,8.520,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213217.339,8.640,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213217.456,8.760,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213217.572,8.880,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213217.689,9.000,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213217.822,9.120,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213217.939,9.240,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213218.056,9.360,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213218.171,9.480,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213218.289,9.600,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213218.422,9.720,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213218.539,9.840,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423213218.656,9.960,0.0000,1.3614,-10.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
